time,btcdom_open,btcdom_high,btcdom_low,btcdom_close,btcdom_volume
2025-10-07 03:00:00,3990.7,4004.7,3974.9,3977.8,135.549
2025-10-07 07:00:00,3977.9,3985.0,3945.8,3968.1,554.693
2025-10-07 11:00:00,3968.2,3994.5,3963.4,3964.7,241.173
2025-10-07 15:00:00,3965.2,4033.7,3946.8,4023.9,1091.988
2025-10-07 19:00:00,4023.2,4045.1,4005.3,4040.1,586.095
2025-10-07 23:00:00,4041.1,4056.0,4020.0,4049.6,175.053
2025-10-08 03:00:00,4049.5,4075.0,4035.6,4071.6,356.15
2025-10-08 07:00:00,4071.0,4100.0,4047.0,4047.3,629.476
2025-10-08 11:00:00,4047.6,4077.2,4047.3,4072.6,227.384
2025-10-08 15:00:00,4072.6,4079.8,4040.6,4068.0,359.992
2025-10-08 19:00:00,4067.8,4077.9,4032.0,4037.1,446.571
2025-10-08 23:00:00,4037.6,4043.8,4028.5,4040.9,120.269
2025-10-09 03:00:00,4041.0,4087.6,4035.7,4063.4,221.204
2025-10-09 07:00:00,4063.4,4078.0,4055.2,4075.1,208.82
2025-10-09 11:00:00,4075.1,4147.4,4073.3,4143.0,1092.492
2025-10-09 15:00:00,4143.0,4168.5,4125.2,4152.7,563.757
2025-10-09 19:00:00,4152.8,4170.4,4117.6,4132.9,344.109
2025-10-09 23:00:00,4133.1,4136.5,4108.2,4123.9,155.788
2025-10-10 03:00:00,4123.5,4126.9,4085.4,4095.0,319.652
2025-10-10 07:00:00,4095.1,4129.9,4091.2,4120.2,231.88
2025-10-10 11:00:00,4120.0,4135.3,4107.2,4109.8,228.626
2025-10-10 15:00:00,4110.5,4241.3,4103.6,4219.7,1415.499
2025-10-10 19:00:00,4219.8,4247.0,4178.2,4212.9,1117.697
2025-10-10 23:00:00,4212.7,5380.0,4200.8,4464.5,8866.613
2025-10-11 03:00:00,4465.1,4505.8,4383.3,4438.9,1447.007
2025-10-11 07:00:00,4437.3,4467.5,4387.3,4393.3,927.04
2025-10-11 11:00:00,4393.3,4410.0,4323.6,4382.0,1070.258
2025-10-11 15:00:00,4381.1,4445.7,4357.3,4368.0,652.851
2025-10-11 19:00:00,4368.1,4456.0,4351.6,4438.3,801.983
2025-10-11 23:00:00,4438.1,4519.9,4431.2,4439.6,788.325
2025-10-12 03:00:00,4439.7,4495.9,4424.6,4445.1,668.036
